,Service Sales,Portfolio/Campaign Sales,Ordered,Total Sales,Acquisition,F&I,TOTAL GROSS
Dealer 1,4,2,2,8,1,"$1,600.00 ","$24,591.00 "
Dealer 2,3,2,0,5,2,$0.00 ,"$31,260.24 "
Dealer 3,0,0,0,0,0,$0.00 ,$0.00 
Dealer 4,9,9,18,36,9,$0.00 ,"$95,029.94 "
Dealer 5,6,6,2,14,7,$0.00 ,"$74,933.11 "
Dealer 6,29,7,11,47,2,$0.00 ,"$186,583.52 "
Dealer 7,2,1,0,3,3,$0.00 ,"$7,350.41 "
Dealer 8,1,0,0,1,3,"$5,653.00 ","$13,600.63 "
Dealer 9,6,4,1,11,5,$0.00 ,"$38,545.12 "
Dealer 10,6,8,1,15,0,$0.00 ,"$52,163.00 "
Dealer 11,2,1,0,3,0,$0.00 ,"$17,401.00 "
Dealer 12,4,1,0,5,5,$0.00 ,"$56,876.00 "
Dealer 13,1,0,1,2,0,$0.00 ,"$5,746.75 "
Dealer 14,2,1,4,7,4,$0.00 ,"$24,752.71 "
Dealer 15,0,0,2,2,0,$0.00 ,$0.00 
Dealer 16,2,3,1,6,2,$0.00 ,"$28,025.89 "
Dealer 17,4,4,0,8,0,$0.00 ,"$70,222.00 "
Dealer 18,2,3,0,5,0,$0.00 ,"$27,290.00 "
Dealer 19,3,3,2,8,0,$0.00 ,"$52,711.00 "
Dealer 20,9,1,1,11,2,$0.00 ,"$53,873.00 "
Dealer 21,8,5,0,13,2,$0.00 ,"$119,595.47 "
Dealer 22,5,1,0,6,2,$0.00 ,"$34,123.41 "
Dealer 23,0,0,0,0,0,$0.00 ,$0.00 
Dealer 24,4,3,2,9,15,$0.00 ,"$18,896.71 "
Dealer 25,0,0,0,0,6,$0.00 ,$0.00 
Dealer 26,2,1,0,3,1,"$2,025.00 ","$43,381.00 "
Dealer 27,3,2,0,5,0,$0.00 ,"$26,635.14 "
