,Service Sales,Portfolio/Campaign Sales,Ordered,Total Sales,Acquisition,F&I,TOTAL GROSS
Dealer 1,2,2,5,9,4,,"$32,089.00 "
Dealer 2,6,1,1,8,0,,"$33,537.98 "
Dealer 3,4,0,0,4,0,,"$31,185.65 "
Dealer 4,8,6,5,19,0,,"$64,008.81 "
Dealer 5,4,3,0,7,0,,"$37,847.44 "
Dealer 6,17,7,6,30,2,,"$120,018.45 "
Dealer 7,6,2,4,12,2,,"$35,549.20 "
Dealer 8,2,2,0,4,5,,"$30,842.23 "
Dealer 9,5,4,2,11,1,,"$52,487.00 "
Dealer 10,0,1,3,4,0,,$0.00 
Dealer 11,1,1,0,2,1,,"$11,956.00 "
Dealer 12,4,1,0,5,5,,"$27,517.78 "
Dealer 13,1,0,1,2,0,,"$2,595.00 "
Dealer 14,3,0,0,3,3,,"$14,244.23 "
Dealer 15,2,1,3,6,1,,"$18,015.03 "
Dealer 16,3,5,1,9,0,,"$39,722.18 "
Dealer 17,5,4,0,9,0,,"$51,402.45 "
Dealer 18,4,0,0,4,0,,"$21,196.31 "
Dealer 19,0,0,0,0,0,"$2,050.00 ","$2,050.00 "
Dealer 20,6,1,6,13,2,,"$59,923.24 "
Dealer 21,6,2,4,12,2,,"$71,098.40 "
Dealer 22,2,2,1,5,0,,"$21,334.64 "
Dealer 23,1,0,0,1,0,,"$9,708.77 "
Dealer 24,4,2,2,8,0,,"$21,454.24 "
Dealer 25,2,1,0,3,0,,"$15,409.62 "
Dealer 26,1,2,0,3,0,,"$25,279.35 "
Dealer 27,4,2,5,11,0,,"$43,370.94 "
