,Service Sales,Portfolio/Campaign Sales,Ordered,Total Sales,Acquisition,F&I,TOTAL GROSS
Dealer 1,4,6,3,13,0,$0.00 ,"$35,725.00 "
Dealer 2,13,1,0,14,2,$0.00 ,"$114,496.87 "
Dealer 3,1,5,0,6,0,"$2,899.00 ","$30,928.57 "
Dealer 4,6,8,13,27,2,$0.00 ,"$48,703.84 "
Dealer 5,5,0,1,6,5,$0.00 ,"$49,084.57 "
Dealer 6,22,12,5,39,2,$0.00 ,"$162,749.83 "
Dealer 7,2,2,0,4,0,$0.00 ,"$24,452.80 "
Dealer 8,3,0,0,3,0,"$1,658.00 ","$30,272.35 "
Dealer 9,6,10,1,17,0,$0.00 ,"$54,622.16 "
Dealer 10,8,3,0,11,0,$0.00 ,"$40,113.00 "
Dealer 11,3,2,0,5,0,$0.00 ,"$28,924.00 "
Dealer 12,7,0,1,8,8,$0.00 ,"$61,723.08 "
Dealer 13,4,0,1,5,1,$0.00 ,"$20,281.94 "
Dealer 14,4,2,1,7,1,$0.00 ,"$24,627.77 "
Dealer 15,4,0,7,11,0,$0.00 ,"$57,761.41 "
Dealer 16,4,1,2,7,0,$0.00 ,"$41,992.87 "
Dealer 17,6,3,1,10,1,$0.00 ,"$55,142.91 "
Dealer 18,3,1,0,4,0,$0.00 ,"$14,130.24 "
Dealer 19,4,4,0,8,0,$0.00 ,"$39,275.00 "
Dealer 20,4,6,0,10,0,$0.00 ,"$50,457.10 "
Dealer 21,13,2,1,16,2,$448.56 ,"$109,416.69 "
Dealer 22,5,4,4,13,2,$0.00 ,"$70,244.04 "
Dealer 23,0,0,0,0,0,$0.00 ,$0.00 
Dealer 24,2,1,2,5,1,$0.00 ,"$4,231.19 "
Dealer 25,2,2,0,4,0,$0.00 ,"$14,785.36 "
Dealer 26,1,0,0,1,3,"$2,400.00 ","$13,157.45 "
Dealer 27,2,3,1,6,1,$0.00 ,"$16,335.77 "
