,Service Sales,Portfolio/Campaign Sales,Ordered,Total Sales,Acquisition,F&I,TOTAL GROSS
Dealer 1,0,2,6,8,1,$0.00 ,"$13,552.00 "
Dealer 2,10,3,0,13,2,$0.00 ,"$89,351.34 "
Dealer 3,3,0,0,3,0,"$2,899.00 ","$13,365.40 "
Dealer 4,5,13,5,23,0,$0.00 ,"$82,281.26 "
Dealer 5,2,5,0,7,2,$0.00 ,"$36,245.57 "
Dealer 6,21,8,4,33,2,$0.00 ,"$200,885.69 "
Dealer 7,1,2,0,3,8,$0.00 ,"$17,673.00 "
Dealer 8,2,1,0,3,5,$0.00 ,"$6,005.85 "
Dealer 9,7,5,2,14,2,$0.00 ,"$68,956.15 "
Dealer 10,6,1,0,7,0,$0.00 ,"$38,756.00 "
Dealer 11,1,2,4,7,0,$0.00 ,"$31,461.00 "
Dealer 12,2,2,0,4,10,$0.00 ,"$26,703.45 "
Dealer 13,1,0,0,1,0,$0.00 ,"$9,710.00 "
Dealer 14,2,3,0,5,6,$0.00 ,"$42,613.50 "
Dealer 15,2,2,4,8,1,$0.00 ,"$42,522.50 "
Dealer 16,2,2,2,6,2,$0.00 ,"$36,138.98 "
Dealer 17,1,1,1,3,0,$0.00 ,"$3,291.00 "
Dealer 18,6,5,1,12,1,$0.00 ,"$40,838.54 "
Dealer 19,5,2,0,7,0,$0.00 ,"$42,789.00 "
Dealer 20,9,7,0,16,1,$0.00 ,"$80,765.99 "
Dealer 21,14,4,0,18,1,$0.00 ,"$102,583.62 "
Dealer 22,5,1,2,8,2,$0.00 ,"$34,123.41 "
Dealer 23,1,0,0,1,0,$0.00 ,"$47,165.00 "
Dealer 24,3,5,1,9,2,$0.00 ,"$31,846.61 "
Dealer 25,1,0,0,1,6,$0.00 ,"$11,309.74 "
Dealer 26,1,1,1,3,3,$0.00 ,"$29,401.01 "
Dealer 27,7,0,1,8,1,$0.00 ,"$41,424.00 "
