,Service Sales,Portfolio/Campaign Sales,Ordered,Total Sales,Acquisition,F&I,TOTAL GROSS
Dealer 1,5,4,3,12,0,$0.00 ,"$35,079.00 "
Dealer 2,9,2,0,11,0,$0.00 ,"$75,900.64 "
Dealer 3,1,2,0,3,0,$0.00 ,"$8,844.61 "
Dealer 4,3,24,21,48,0,$0.00 ,"$94,959.93 "
Dealer 5,2,6,1,9,2,$0.00 ,"$27,126.49 "
Dealer 6,23,25,5,53,3,$0.00 ,"$201,641.99 "
Dealer 7,10,5,0,15,0,$0.00 ,"$58,537.06 "
Dealer 8,4,4,0,8,0,$0.00 ,"$41,821.16 "
Dealer 9,5,5,1,11,0,$0.00 ,"$33,244.04 "
Dealer 10,11,1,2,14,1,$0.00 ,"$80,999.00 "
Dealer 11,8,1,2,11,0,$0.00 ,"$62,479.00 "
Dealer 12,3,8,0,11,5,$0.00 ,"$69,284.79 "
Dealer 13,0,1,2,3,0,$0.00 ,"$1,550.00 "
Dealer 14,4,0,2,6,4,$0.00 ,"$18,512.96 "
Dealer 15,2,3,2,7,1,$0.00 ,"$48,265.50 "
Dealer 16,7,3,2,12,5,$0.00 ,"$63,474.29 "
Dealer 17,11,9,0,20,0,$0.00 ,"$79,718.38 "
Dealer 18,6,7,0,13,0,$0.00 ,"$60,549.85 "
Dealer 19,3,2,0,5,0,$0.00 ,"$28,796.00 "
Dealer 20,4,5,0,9,1,$0.00 ,"$41,982.69 "
Dealer 21,8,4,1,13,0,$0.00 ,"$116,576.84 "
Dealer 22,4,7,1,12,0,$0.00 ,"$52,163.24 "
Dealer 23,1,0,0,1,0,$0.00 ,"$40,660.44 "
Dealer 24,6,5,1,12,2,$0.00 ,"$27,184.32 "
Dealer 25,1,3,0,4,0,$0.00 ,"$4,833.99 "
Dealer 26,2,9,1,12,3,$0.00 ,"$158,200.31 "
Dealer 27,3,3,4,10,0,$0.00 ,"$15,134.10 "
