,Service Sales,Portfolio/Campaign Sales,Ordered,Total Sales,Acquisition,F&I,TOTAL GROSS
Dealer 1,13,3,0,16,2,$0.00 ,"$75,941.00 "
Dealer 2,8,2,0,10,2,$0.00 ,"$69,315.22 "
Dealer 3,1,3,0,4,0,$0.00 ,"$16,698.48 "
Dealer 4,12,31,16,59,0,$0.00 ,"$226,655.52 "
Dealer 5,4,5,1,10,4,$0.00 ,"$43,219.75 "
Dealer 6,19,17,4,40,7,$0.00 ,"$158,497.21 "
Dealer 7,3,1,0,4,1,$0.00 ,"$18,454.94 "
Dealer 8,2,3,0,5,0,$0.00 ,"$27,417.58 "
Dealer 9,3,4,4,11,2,$0.00 ,"$34,459.10 "
Dealer 10,6,1,2,9,2,$0.00 ,"$32,873.00 "
Dealer 11,3,0,1,4,1,$0.00 ,"$3,576.00 "
Dealer 12,0,2,0,2,4,$0.00 ,"$26,687.11 "
Dealer 13,4,1,0,5,0,$0.00 ,"$16,844.65 "
Dealer 14,0,3,5,8,0,"$1,137.00 ","$7,481.75 "
Dealer 15,2,4,1,7,0,$0.00 ,"$37,931.10 "
Dealer 16,4,3,1,8,0,$0.00 ,"$26,124.38 "
Dealer 17,8,8,1,17,0,$0.00 ,"$56,962.08 "
Dealer 18,8,6,5,19,0,$0.00 ,"$62,536.98 "
Dealer 19,4,3,0,7,0,$0.00 ,"$46,058.00 "
Dealer 20,4,2,0,6,0,$0.00 ,"$19,278.04 "
Dealer 21,8,5,1,14,0,$448.56 ,"$69,404.02 "
Dealer 22,1,4,0,5,0,$0.00 ,"$25,507.99 "
Dealer 23,0,1,0,1,0,$0.00 ,"$30,720.00 "
Dealer 24,3,4,4,11,5,$0.00 ,"$19,916.29 "
Dealer 25,2,1,0,3,0,$0.00 ,"$6,117.30 "
Dealer 26,2,2,0,4,6,$0.00 ,"$40,792.36 "
Dealer 27,4,3,2,9,0,$0.00 ,"$38,234.11 "
